"Freq [Hz]","Phase [deg]","Distance [mm]","Mag_H [kA_per_meter]"
10,0,0,0.0404832744620912
10,0,0.333333333333333,0.077303118450453
10,0,0.666666666666667,0.278397847527785
10,0,1,0.625737098050722
10,0,1.33333333333333,0.877454343009263
10,0,1.66666666666667,1.10560009670291
10,0,2,1.32200242406883
10,0,2.33333333333333,1.53689778516325
10,0,2.66666666666667,1.76066358099438
10,0,3,1.98338679208772
10,0,3.33333333333333,2.19854241483615
10,0,3.66666666666667,2.4225766636767
10,0,4,2.64725641905193
10,0,4.33333333333333,2.87195194123595
10,0,4.66666666666667,3.09629923423361
10,0,5,3.32008247622401
10,0,5.33333333333333,2.7577081716358
10,0,5.66666666666667,2.66538486314566
10,0,6,2.57548881370221
10,0,6.33333333333333,2.4880195547317
10,0,6.66666666666667,2.40297663158481
10,0,7,2.32035960353666
10,0,7.33333333333333,2.2401680437868
10,0,7.66666666666667,2.16240153945922
10,0,8,2.08705969160233
10,0,8.33333333333333,2.01414211518899
10,0,8.66666666666667,1.94364843911648
10,0,9,1.87557830620651
10,0,9.33333333333333,1.80993137320524
10,0,9.66666666666667,1.74670731078324
10,0,10,1.68590580353555
10,0,10.3333333333333,1.6275265499816
10,0,10.6666666666667,1.57156926256528
10,0,11,1.51803366765492
10,0,11.3333333333333,1.46691950554325
10,0,11.6666666666667,1.41822653044746
10,0,12,1.37195451050917
10,0,12.3333333333333,1.32810322779443
10,0,12.6666666666667,1.28667247829372
10,0,13,1.24766207192196
10,0,13.3333333333333,1.2110718325185
10,0,13.6666666666667,1.17690159784712
10,0,14,1.15050710938191
10,0,14.3333333333333,1.12690962148527
10,0,14.6666666666667,1.10332260446795
10,0,15,1.08001903837532
10,0,15.3333333333333,1.05699878519393
10,0,15.6666666666667,1.03426171549095
10,0,16,1.01180770841411
10,0,16.3333333333333,0.989636651691773
10,0,16.6666666666667,0.967748441632834
10,0,17,0.951143534941271
10,0,17.3333333333333,0.934831200807763
10,0,17.6666666666667,0.918757863449927
10,0,18,0.902923400597166
10,0,18.3333333333333,0.887327697004716
10,0,18.6666666666667,0.871970644453644
10,0,19,0.856852141750848
10,0,19.3333333333333,0.841972094729058
10,0,19.6666666666667,0.827330416246831
10,0,20,0.812927026188562
10,0,20.3333333333333,0.798761851464472
10,0,20.6666666666667,0.784834826010615
10,0,21,0.771145890788874
10,0,21.3333333333333,0.757694993786968
10,0,21.6666666666667,0.744482090018443
10,0,22,0.731507141522676
10,0,22.3333333333333,0.718770117364879
10,0,22.6666666666667,0.706270993636092
10,0,23,0.694009753453184
10,0,23.3333333333333,0.681986386958861
10,0,23.6666666666667,0.670200891321657
10,0,24,0.658653270735936
10,0,24.3333333333333,0.647343536421896
10,0,24.6666666666667,0.636271706625562
10,0,25,0.628046834728026
10,0,25.3333333333333,0.620720358514499
10,0,25.6666666666667,0.613553625841873
10,0,26,0.606475868255703
10,0,26.3333333333333,0.599228165200711
10,0,26.6666666666667,0.592073775439122
10,0,27,0.585011781423021
10,0,27.3333333333333,0.578041265857043
10,0,27.6666666666667,0.571279758824297
10,0,28,0.566187451213317
10,0,28.3333333333333,0.561116690973379
10,0,28.6666666666667,0.556067460925129
10,0,29,0.551039745309707
10,0,29.3333333333333,0.546033529788744
10,0,29.6666666666667,0.541048801444365
10,0,30,0.536085548779188
10,0,30.3333333333333,0.531143761716323
10,0,30.6666666666667,0.526223431599373
10,0,31,0.521324551192436
10,0,31.3333333333333,0.5164471146801
10,0,31.6666666666667,0.511591117667448
10,0,32,0.506756557180054
10,0,32.3333333333333,0.501943431663986
10,0,32.6666666666667,0.497151740985805
10,0,33,0.492381486432565
10,0,33.3333333333333,0.487632670711811
10,0,33.6666666666667,0.482905297951583
10,0,34,0.478199373700414
10,0,34.3333333333333,0.47351490492733
10,0,34.6666666666667,0.468851900021847
10,0,35,0.464210368793977
10,0,35.3333333333333,0.459590322474224
10,0,35.6666666666667,0.454991773713583
10,0,36,0.450414736583546
10,0,36.3333333333333,0.445859226576093
10,0,36.6666666666667,0.441325260603701
10,0,37,0.436797576190791
10,0,37.3333333333333,0.432035089185369
10,0,37.6666666666667,0.427305131026027
10,0,38,0.422607741395439
10,0,38.3333333333333,0.417942963489555
10,0,38.6666666666667,0.413310844017606
10,0,39,0.408711433202098
10,0,39.3333333333333,0.404144784778816
10,0,39.6666666666667,0.399610955996824
10,0,40,0.39511000761846
10,0,40.3333333333333,0.390642003919344
10,0,40.6666666666667,0.387252274330221
10,0,41,0.384140632065674
10,0,41.3333333333333,0.381040033227613
10,0,41.6666666666667,0.378082418715325
10,0,42,0.375544546204686
10,0,42.3333333333333,0.372961331834329
10,0,42.6666666666667,0.370320758120192
10,0,43,0.367695796510151
10,0,43.3333333333333,0.36508644579002
10,0,43.6666666666667,0.362492705063057
10,0,44,0.359910607222844
10,0,44.3333333333333,0.357338340470142
10,0,44.6666666666667,0.354779255914367
10,0,45,0.352233353505731
10,0,45.3333333333333,0.349700633270798
10,0,45.6666666666667,0.347181095312477
10,0,46,0.344674739810027
10,0,46.3333333333333,0.342181567019056
10,0,46.6666666666667,0.33970157727152
10,0,47,0.337234770975723
10,0,47.3333333333333,0.33478114861632
10,0,47.6666666666667,0.332340710754313
10,0,48,0.329860941790261
10,0,48.3333333333333,0.327397917139826
10,0,48.6666666666667,0.324951675239433
10,0,49,0.322522216790904
10,0,49.3333333333333,0.320109542578782
10,0,49.6666666666667,0.317713653470321
10,0,50,0.315334550415493
10,0,50.3333333333333,0.312972234446991
10,0,50.6666666666667,0.310626706680217
10,0,51,0.308297968313295
10,0,51.3333333333333,0.305986020627062
10,0,51.6666666666667,0.303690864985073
10,0,52,0.301412502833599
10,0,52.3333333333333,0.299150935701626
10,0,52.6666666666667,0.296906165200861
10,0,53,0.29480595314893
10,0,53.3333333333333,0.292899267631861
10,0,53.6666666666667,0.29099715940063
10,0,54,0.28909961980551
10,0,54.3333333333333,0.287206640613912
10,0,54.6666666666667,0.285318214010374
10,0,55,0.283434332596574
10,0,55.3333333333333,0.281554989391321
10,0,55.6666666666667,0.279728633151147
10,0,56,0.277954261327622
10,0,56.3333333333333,0.276183980876344
10,0,56.6666666666667,0.274417782618597
10,0,57,0.272655657897005
10,0,57.3333333333333,0.270897598575529
10,0,57.6666666666667,0.269143597039467
10,0,58,0.267393646195456
10,0,58.3333333333333,0.265647739471471
10,0,58.6666666666667,0.264110039068594
10,0,59,0.262585750464062
10,0,59.3333333333333,0.261065338343359
10,0,59.6666666666667,0.25954879965153
10,0,60,0.258036131358201
10,0,60.3333333333333,0.256527330457573
10,0,60.6666666666667,0.255022393968433
10,0,61,0.253521318934142
10,0,61.3333333333333,0.252024102422644
10,0,61.6666666666667,0.250530741526462
10,0,62,0.249041233362696
10,0,62.3333333333333,0.24755557507303
10,0,62.6666666666667,0.246073763823724
10,0,63,0.244595796805619
10,0,63.3333333333333,0.243121671234137
10,0,63.6666666666667,0.241651384349276
10,0,64,0.240184933415618
10,0,64.3333333333333,0.238722315722321
10,0,64.6666666666667,0.237263528583125
10,0,65,0.235808569336348
10,0,65.3333333333333,0.234357435344888
10,0,65.6666666666667,0.232910123996223
10,0,66,0.231466632702411
10,0,66.3333333333333,0.230026958900089
10,0,66.6666666666667,0.228642177839682
10,0,67,0.227356397853636
10,0,67.3333333333333,0.226074711069718
10,0,67.6666666666667,0.2247971194107
10,0,68,0.223523624821663
10,0,68.3333333333333,0.222254229270001
10,0,68.6666666666667,0.220988934745413
10,0,69,0.219727743259908
10,0,69.3333333333333,0.218470656847805
10,0,69.6666666666667,0.217217677565733
10,0,70,0.215968807492627
10,0,70.3333333333333,0.214724048729735
10,0,70.6666666666667,0.21348340340061
10,0,71,0.212227595160874
10,0,71.3333333333333,0.211026321720188
10,0,71.6666666666667,0.209887641812181
10,0,72,0.208752566683297
10,0,72.3333333333333,0.207621096263499
10,0,72.6666666666667,0.206493230485204
10,0,73,0.205368969283288
10,0,73.3333333333333,0.204248312595084
10,0,73.6666666666667,0.203131260360387
10,0,74,0.202017812521443
10,0,74.3333333333333,0.200907969022962
10,0,74.6666666666667,0.199801729812106
10,0,75,0.198699094838499
10,0,75.3333333333333,0.197600064054222
10,0,75.6666666666667,0.196504637413812
10,0,76,0.195412814874265
10,0,76.3333333333333,0.194324596395034
10,0,76.6666666666667,0.193239981938031
10,0,77,0.192158971467626
10,0,77.3333333333333,0.191081564950644
10,0,77.6666666666667,0.19000776235637
10,0,78,0.188937563656546
10,0,78.3333333333333,0.187870968825373
10,0,78.6666666666667,0.186807977839507
10,0,79,0.185748590678065
10,0,79.3333333333333,0.18469280732262
10,0,79.6666666666667,0.183640627757202
10,0,80,0.1825920519683
10,0,80.3333333333333,0.181547079944861
10,0,80.6666666666667,0.180505711678288
10,0,81,0.179467947162444
10,0,81.3333333333333,0.178433786393647
10,0,81.6666666666667,0.177403229370676
10,0,82,0.176376276094766
10,0,82.3333333333333,0.175352926569609
10,0,82.6666666666667,0.174333180801355
10,0,83,0.173316830550792
10,0,83.3333333333333,0.172293114250832
10,0,83.6666666666667,0.171272997065528
10,0,84,0.170256478868248
10,0,84.3333333333333,0.169243559535569
10,0,84.6666666666667,0.168234238947277
10,0,85,0.167228516986365
10,0,85.3333333333333,0.166216249968993
10,0,85.6666666666667,0.165206363258938
10,0,86,0.16419967849728
10,0,86.3333333333333,0.163196195574715
10,0,86.6666666666667,0.16219872340695
10,0,87,0.161247370691857
10,0,87.3333333333333,0.160301053901872
10,0,87.6666666666667,0.159355181388499
10,0,88,0.158413800289265
10,0,88.3333333333333,0.157473195305651
10,0,88.6666666666667,0.156533366564697
10,0,89,0.155594314184813
10,0,89.3333333333333,0.15465603827579
10,0,89.6666666666667,0.153718538938796
10,0,90,0.152781816266372
10,0,90.3333333333333,0.151845870342441
10,0,90.6666666666667,0.150910701242298
10,0,91,0.149976309032619
10,0,91.3333333333333,0.149042693771455
10,0,91.6666666666667,0.148109855508232
10,0,92,0.147177794283758
10,0,92.3333333333333,0.146246510130211
10,0,92.6666666666667,0.145316003071152
10,0,93,0.144386273121515
10,0,93.3333333333333,0.143457320287613
10,0,93.6666666666667,0.142529144567134
10,0,94,0.141601745949145
10,0,94.3333333333333,0.14067499847092
10,0,94.6666666666667,0.139746391068338
10,0,95,0.138818526674809
