"Freq [Hz]","Phase [deg]","Distance [mm]","Mag_B [mTesla]"
10,0,0,0.0508723251441591
10,0,0.333333333333333,0.0971410892207246
10,0,0.666666666666667,0.349841904022156
10,0,1,0.786317350307533
10,0,1.33333333333333,1.10263172210857
10,0,1.66666666666667,1.38932555101396
10,0,2,1.66126228799956
10,0,2.33333333333333,1.93130533236362
10,0,2.66666666666667,2.21249519343388
10,0,3,2.49237491567581
10,0,3.33333333333333,2.76274501153611
10,0,3.66666666666667,3.04427221757076
10,0,4,3.32661058373883
10,0,4.33333333333333,3.60896876288484
10,0,4.66666666666667,3.89088934826827
10,0,5,4.17210113263153
10,0,5.33333333333333,3.46543828914239
10,0,5.66666666666667,3.34942139819187
10,0,6,3.23645469091364
10,0,6.33333333333333,3.12653757848056
10,0,6.66666666666667,3.01966948956345
10,0,7,2.91584987033108
10,0,7.33333333333333,2.81507818445021
10,0,7.66666666666667,2.71735391308552
10,0,8,2.62267655489967
10,0,8.33333333333333,2.53104562605329
10,0,8.66666666666667,2.44246066020493
10,0,9,2.35692120851113
10,0,9.33333333333333,2.2744268396264
10,0,9.66666666666667,2.19497713970317
10,0,10,2.11857171239186
10,0,10.3333333333333,2.04521017884083
10,0,10.6666666666667,1.97489217769642
10,0,11,1.9076173651029
10,0,11.3333333333333,1.84338541470254
10,0,11.6666666666667,1.78219601763551
10,0,12,1.72404888254
10,0,12.3333333333333,1.66894373555212
10,0,12.6666666666667,1.61688032030595
10,0,13,1.56785839793354
10,0,13.3333333333333,1.52187774706488
10,0,13.6666666666667,1.47893816382792
10,0,14,1.4457698714428
10,0,14.3333333333333,1.41611639362898
10,0,14.6666666666667,1.38647607391017
10,0,15,1.357191949128
10,0,15.3333333333333,1.32826384584968
10,0,15.6666666666667,1.29969160142511
10,0,16,1.27147506398686
10,0,16.3333333333333,1.2436140924502
10,0,16.6666666666667,1.21610855651307
10,0,17,1.19524221538661
10,0,17.3333333333333,1.17474353177935
10,0,17.6666666666667,1.15454518037761
10,0,18,1.13464700753163
10,0,18.3333333333333,1.11504886842058
10,0,18.6666666666667,1.09575062705254
10,0,19,1.07675215626449
10,0,19.3333333333333,1.05805333772237
10,0,19.6666666666667,1.039654061921
10,0,20,1.02155422818414
10,0,20.3333333333333,1.00375374466447
10,0,20.6666666666667,0.986252528343593
10,0,21,0.969050505032015
10,0,21.3333333333333,0.952147609369176
10,0,21.6666666666667,0.935543784823434
10,0,22,0.919238983692062
10,0,22.3333333333333,0.903233167101257
10,0,22.6666666666667,0.887526305006137
10,0,23,0.872118376190735
10,0,23.3333333333333,0.857009368268005
10,0,23.6666666666667,0.842199277679824
10,0,24,0.827688109696989
10,0,24.3333333333333,0.813475878419211
10,0,24.6666666666667,0.799562606775125
10,0,25,0.789226927934929
10,0,25.3333333333333,0.780020206405802
10,0,25.6666666666667,0.771014224530268
10,0,26,0.76212005204579
10,0,26.3333333333333,0.753012319787012
10,0,26.6666666666667,0.744021848470915
10,0,27,0.735147485072785
10,0,27.3333333333333,0.72638807688527
10,0,27.6666666666667,0.717891316566471
10,0,28,0.711492134101593
10,0,28.3333333333333,0.705120028861712
10,0,28.6666666666667,0.698774979258615
10,0,29,0.692456965489135
10,0,29.3333333333333,0.686165969535146
10,0,29.6666666666667,0.679901975163567
10,0,30,0.673664967926361
10,0,30.3333333333333,0.667454935160537
10,0,30.6666666666667,0.661271865988144
10,0,31,0.655115751316279
10,0,31.3333333333333,0.64898658383708
10,0,31.6666666666667,0.642884358027731
10,0,32,0.63680907015046
10,0,32.3333333333333,0.630760718252538
10,0,32.6666666666667,0.624739302166279
10,0,33,0.618744823509044
10,0,33.3333333333333,0.612777285683234
10,0,33.6666666666667,0.606836693876297
10,0,34,0.600923055060725
10,0,34.3333333333333,0.595036377994055
10,0,34.6666666666667,0.589176673218864
10,0,35,0.583343953062774
10,0,35.3333333333333,0.577538231638456
10,0,35.6666666666667,0.571759524843618
10,0,36,0.566007850361017
10,0,36.3333333333333,0.560283227658451
10,0,36.6666666666667,0.554585677988765
10,0,37,0.548896021959517
10,0,37.3333333333333,0.542911304290736
10,0,37.6666666666667,0.536967463575457
10,0,38,0.5310645496804
10,0,38.3333333333333,0.525202616887197
10,0,38.6666666666667,0.519381723892398
10,0,39,0.513601933807466
10,0,39.3333333333333,0.50786331415878
10,0,39.6666666666667,0.502165936887634
10,0,40,0.496509878350234
10,0,40.3333333333333,0.490895219317709
10,0,40.6666666666667,0.486635559492639
10,0,41,0.482725354505546
10,0,41.3333333333333,0.478829027097447
10,0,41.6666666666667,0.475112379092112
10,0,42,0.471923194441689
10,0,42.3333333333333,0.468677031529974
